date,customerId,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-12,520229037,CUS52022903724,24,10000,USD,WEB PAGE,0.395
2022-09-12,413334285,CUS41333428524,24,67000,USD,AGENCY,0.395
2022-09-12,309109156,CUS30910915648,48,8000,USD,WEB PAGE,0.4
2022-09-12,785254459,CUS78525445936,36,9500,USD,WEB PAGE,0.209
2022-09-12,550242645,CUS55024264560,60,15000,USD,WEB PAGE,0.39
2022-09-12,712116237,CUS71211623724,24,24215.94,USD,AGENCY,0.395
2022-09-12,237540373,CUS23754037360,60,20000,USD,WEB PAGE,0.395
2022-09-12,975753245,CUS97575324512,12,10000,USD,WEB PAGE,0.39
2022-09-12,806440426,CUS80644042636,36,8200,USD,WEB PAGE,0.295
2022-09-12,980615334,CUS98061533424,24,32000,USD,WEB PAGE,0.235
2022-09-12,293486855,CUS29348685548,48,40000,USD,WEB PAGE,0.39
2022-09-12,583701419,CUS58370141936,36,1856.64,USD,AGENCY,0.339
2022-09-12,693888975,CUS69388897524,24,29400,USD,AGENCY,0.39
2022-09-12,921638552,CUS92163855236,36,25700,USD,WEB PAGE,0.265
2022-09-12,242018100,CUS24201810060,60,16200,USD,WEB PAGE,0.38
2022-09-12,342748181,CUS34274818112,12,21000,USD,WEB PAGE,0.39
2022-09-12,341985522,CUS34198552260,60,90600,USD,WEB PAGE,0.235
2022-09-12,857220564,CUS85722056436,36,4500,USD,WEB PAGE,0.315
2022-09-12,845804404,CUS84580440424,24,35000,USD,WEB PAGE,0.199
2022-09-12,684095688,CUS68409568836,36,5000,USD,WEB PAGE,0.27
2022-09-12,947095850,CUS94709585048,48,76000,USD,WEB PAGE,0.37
2022-09-12,931964928,CUS93196492812,12,60000,USD,AGENCY,0.85
2022-09-12,181943400,CUS18194340024,24,80000,USD,AGENCY,0.255
2022-09-12,890898694,CUS89089869448,48,17600,USD,WEB PAGE,0.255
2022-09-12,876211790,CUS87621179060,60,44100,USD,WEB PAGE,0.35
2022-09-12,718815603,CUS71881560336,36,70000,USD,WEB PAGE,0.35
2022-09-12,472104041,CUS47210404136,36,35100,USD,WEB PAGE,0.275
2022-09-12,349740345,CUS34974034548,48,50000,USD,AGENCY,0.395
2022-09-12,720260935,CUS72026093512,12,7000,USD,WEB PAGE,0.32
2022-09-12,376234337,CUS37623433760,60,30100,USD,AGENCY,0.35
2022-09-12,422101709,CUS42210170924,24,10000,USD,WEB PAGE,0.4
2022-09-12,841073266,CUS84107326636,36,29250,USD,WEB PAGE,0.199
2022-09-12,555651115,CUS55565111560,60,27500,USD,WEB PAGE,0.29
2022-09-12,752917270,CUS75291727048,48,23249,USD,WEB PAGE,0.169
2022-09-12,221657779,CUS22165777936,36,50000,USD,AGENCY,0.225
2022-09-12,687127449,CUS68712744936,36,70000,USD,CONTACT CENTER,0.225
2022-09-12,334429533,CUS33442953324,24,17460,USD,WEB PAGE,0.295
2022-09-12,688891208,CUS68889120848,48,16000,USD,WEB PAGE,0.265
2022-09-12,409481779,CUS40948177936,36,140000,USD,WEB PAGE,0.189
2022-09-12,228082159,CUS22808215948,48,80000,USD,AGENCY,0.12
2022-09-12,974131028,CUS97413102848,48,3590,USD,WEB PAGE,0.349
2022-09-12,293445817,CUS29344581724,24,20000,USD,WEB PAGE,0.295
2022-09-12,121574065,CUS12157406548,48,15000,USD,AGENCY,0.395
2022-09-12,341944587,CUS34194458748,48,35500,USD,WEB PAGE,0.24
2022-09-12,456909402,CUS45690940236,36,24300,USD,WEB PAGE,0.275
2022-09-12,962175469,CUS96217546924,24,10000,USD,WEB PAGE,0.35
2022-09-12,372313690,CUS37231369048,48,33200,USD,WEB PAGE,0.14
2022-09-12,156797843,CUS15679784324,24,12800,USD,WEB PAGE,0.145
2022-09-12,625628209,CUS62562820948,48,1394,USD,WEB PAGE,0.349
2022-09-12,720520975,CUS72052097524,24,15000,USD,WEB PAGE,0.29
2022-09-12,450244865,CUS45024486560,60,41000,USD,WEB PAGE,0.35
2022-09-12,781049695,CUS78104969524,24,47900,USD,WEB PAGE,0.209
